0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:36:25 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:36:30 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:44:06 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:46:39 +0900] "GET /CustomerManage/LoginServlet HTTP/1.1" 200 827
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:46:39 +0900] "GET /CustomerManage/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:46:49 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:47:03 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:47:10 +0900] "POST /CustomerManage/LoginServlet HTTP/1.1" 200 1112
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:47:18 +0900] "POST /CustomerManage/CustomerServlet HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:47:22 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:47:31 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2847
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:47:49 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Nov/2020:17:48:00 +0900] "POST /CustomerManage/UserServlet HTTP/1.1" 200 2691
